REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
AN13KEZ,273454,MERCEDES-BENZ,CLA CLASS,16/06/2025,3014440,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,19/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
KF21ODT,318106,MERCEDES-BENZ,GL CLASS,16/06/2025,3014448,Group 1 Audi Chingford,London,,London,E4 8JA,,6000000000,19/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
PJ22YWZ,175988,MG,HS,16/06/2025,3014409,Vertu Vauxhall Keighley,The Crossings Business Park,,KEIGHLEY,BD20 7BW,,3445586938,19/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,AC01,
LM71YDC,264223,MERCEDES-BENZ,CLA CLASS,16/06/2025,3014435,Group 1 BMW Borehamwood,Stirling Way,,Hertfordshire,WD6 2BT,,2089512600,19/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
GF22ZRY,198185,HYUNDAI,TUCSON,16/06/2025,3014511,JCB Volkswagen Medway,Bailey Drive,,GILLINGHAM,ME8 0PZ,,1634378988,19/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
LT22UWB,963984,PEUGEOT,2008,16/06/2025,3014380,Wilmoths Citroen Eastbourne,91-93 Eastbourne Road,,EASTBOURNE,BN20 9NR,,1323488000,19/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
CX22XKU,238137,VAUXHALL,CROSSLAND,16/06/2025,3014501,Slaters Vauxhall Colwyn Bay,Conway Road,,COLWYN BAY,LL29 7LY,,1492557000,19/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
GF22WVB,098598,VOLKSWAGEN,TCROSS,16/06/2025,3014384,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,19/06/2025,Blackpool Vauxhall/Jeep/Vanstore,Whitehills Business Park,,Blackpool,FY4 5PQ,,,Must call 1hour before collection and get a name,,AC01,
LV22GNO,181215,VAUXHALL,CROSSLAND,16/06/2025,3014508,VS Coalville FP,Motability Operations Ltd,,Coalville,LE67 3HG,,7787288375,19/06/2025,Stoke Vauxhall/Peugeot,Clough Street,,Stoke on Trent,ST1 4AS,,1782651040,Must call 1hour before collection and get a name,,AC01,
LV74ALO,071179,MG,HS,16/06/2025,3014652,Toomey Hyundai Basildon,Service House,,Basildon,SS15 6RW,,1268407400,19/06/2025,Preston Motorstore,116 Hartington Rd,,Preston,PR1 8PQ,,1772418090,Must call 1hour before collection and get a name,,AC01,
