REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
OY22SXX,241852,MG,ZSS,,01782,FROM,Perrys Peugeot Aylesbury,Griffin Lane,Aylesbury,HP19 8BY,,01296592615,,,,,,,,,,106.25,AC01,
HW72KLX,B11768,FORD,PUMA,,01782,VS Coalville FP,Motability Operations Ltd,Coalville,LE67 3HG,,,,,,,,,,,,,61.14,AC01,
HJ22FVN,S84898,FORD,PUMA,,01782,Meadens Škoda Brockenhurst,Sway Road,Brockenhurst,SO42 7SH,,,,,,,,,,,,,160.78958218,AC01,
Silver,DX22OPP,MERCEDES-BENZ,B,,01782,Brindley Volvo Wolverhampton,Cat & Kittens Lane,Featherstone,WV10 7EE,,,,,,,,,,,,,48.46,AC01,
AO22CVB,154130,HYUNDAI,BAYON,,01782,Motorvogue Hyundai Norwich,Cromer Road,Norwich,NR6 6NB,,,,,,,,,,,,,153.43,AC01,
ND73BZT,178241,KIA,CEED,,01782,VS Coalville FP,Motability Operations Ltd,Coalville,LE67 3HG,,,,,,,,,,,,,53.40,AC01,
CX24PNN,126121,VOLKSWAGEN,TROC,,01782,Regent Garage Volkswagen Ciricceith,Caernarvon Road,CRICCIETH,LL52 0AP,,,,,,,,,,,,,114.68,AC01,
CX22XBL,B01240,SUZUKI,VITARA,,07775022311,Threeways Garage Suzuki Abergele,Faenol Avenue,ABERGELE,LL22 7HT,,,,,,,,,,,,,83.42,AC01,
BG22YNE,307769,SUZUKI,SWACE,,01782,VS Coalville FP,Motability Operations Ltd,Coalville,LE67 3HG,,,,,,,,,,,,,58.58,AC01,
RE22DZM,183955,VAUXHALL,CROSSLAND,,01782,VS Coalville FP,Motability Operations Ltd,Coalville,LE67 3HG,,,,,,,,,,,,,61.14,AC01,
