REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
FG72HYJ,,FORD,TRANIST 350 L3,,476725,Europcar SUNDERLAND,SUNDERLAND,SUNDERLAND,,PALLION WAY,,SR4 6SN,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,44 0870 2520406,,HAYDOCK,,,EU01,
WP23UUN,,FORD,TRANSIT CUSTOM LEADER,,476723,Europcar GATESHEAD,GATESHEAD,GATESHEAD,,OAKWELLGATE,,NE8 2AU,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,44 0870 2520406,,HAYDOCK,,,EU01,
WN72XJZ,,FORD,TRANSIT CUSTOM LEADER,,476721,Europcar STEVENAGE,39 CROMPTON ROAD,STEVENAGE,,STEVENAGE,,SG1 2EE,,,Coomberland Park,Thurleigh RoadXQDZ01,,44 0 0,,THURLEIGH,,,EU01,
BF23YFE,,IVECO,35S14 3520L H2,,476716,Europcar LUTON AIRPORT SALE HUB,CAR HIRE CENTRE. BUILDING 250,LUTON AIRPORT PRESIDENT WAY,,LUTON,,LU2 9LY,,,BLACKBUSHE AIRPORT,CAMBERLEY,,44 01252 878555,,BLACKWATERLONZ95,,,EU01,
FP73NFL,,FORD,TRANSIT CUSTOM LIMITED,,476715,Europcar READING,6-8 COMMERCIAL ROAD,READING,,READING,,RG2 0QZ,,,BLACKBUSHE AIRPORT,CAMBERLEY,,44 01252 878555,,BLACKWATERLONZ95,,,EU01,
WN24GKY,,FORD,TRANSIT LEADER 350,,476726,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,LONDON CROYDON SALE HUB,,CROYDON,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,44 01903 851200,,LANCING,,,EU01,
WN24GYV,,FORD,TRANSIT LEADER 350,,476714,Europcar OXFORD,LITTLEMEAD BUSINESS  PARK,FERRY HINKSEY ROAD,,OXFORD,,OX2 0BY,,,BLACKBUSHE AIRPORT,CAMBERLEY,,44 01252 878555,,BLACKWATERLONZ95,,,EU01,
WN24GWX,,FORD,TRANSIT LEADER 350,,476720,Europcar LONDON PARK ROYAL SALE HUB,101/103 BRENTFIELD ROAD,LONDON,,PARK ROYAL,,NW10 8LD,,,Coomberland Park,Thurleigh RoadXQDZ01,,44 0 0,,THURLEIGH,,,EU01,
FM21GZV,,TOYOTA,PROACE VERSO MY20,,476717,Europcar TRURO CORNWALL,UNIT 2B EDHEN PARK,HARVEY ROAD,,TRURO,,TR12XW,,,BLACKBUSHE AIRPORT,CAMBERLEY,,44 01252 878555,,BLACKWATERLONZ95,,,EU01,
NX73VOY,,MAXUS,DELIVER9 2.0 BASE,,476722,Europcar CARLISLE,CORNER OF JUNCTION ST,NEXT TO DIXON CHIMNEY,,CARLISLE,,CA2 5UG,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,44 0870 2520406,,HAYDOCK,,,EU01,
KM24UOL,,MERCEDES-BENZ,SPRINTER 315 PROGRESSIVE,,476719,Europcar WOLVERHAMPTON,133 WILLENHALL ROAD,WOLVERHAMPTON,,WOLVERHAMPTON,,WV1 2HR,,,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN73AOR,,FORD,TRANSIT CUSTOM LEADER,,476728,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,LONDON CROYDON SALE HUB,,CROYDON,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,44 01903 851200,,LANCING,,,EU01,
KN21PYX,,CT,BERLINGO PANEL VAN,,476724,Europcar LEEDS SALE HUB,7-13 LOW ROAD,LEEDS,,HUNSLET,,LS10 1QR,,,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,44 0870 2520406,,HAYDOCK,,,EU01,
GD21PFG,,VOLKSWAGEN,CR35 PANEL VAN,,476718,Europcar BIRMINGHAM NEWTOWN,1 MILLER STREET,ENTRANCE OFF BRACEBRIDGE,,BIRMINGHAM,,B6 4NF,,,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN72XJT,,FORD,TRANSIT CUSTOM LEADER,,476727,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,LONDON CROYDON SALE HUB,,CROYDON,,CR0 4RR,,,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,44 01903 851200,,LANCING,,,EU01,
