REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DL25BTE,WF0EXXTTRESM60665,,TRANSIT VAN,23/05/2025,DL25BTE,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60665,,GR11,
DS25YPD,WF0EXXTTRESM60672,,TRANSIT VAN,23/05/2025,DS25YPD,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60672,,GR11,
DS25WVN,WF0EXXTTRESM60737,,TRANSIT VAN,23/05/2025,DS25WVN,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60737,,GR11,
DS25YNH,WF0EXXTTRESM60748,,TRANSIT VAN,23/05/2025,DS25YNH,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60748,,GR11,
DS25YOJ,WF0EXXTTRESM60731,,TRANSIT VAN,23/05/2025,DS25YOJ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60731,,GR11,
DL25HPC,WF0SXXTA6SSM07942,,TRANSIT CUSTOM,23/05/2025,DL25HPC,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0SXXTA6SSM07942,,GR11,
DS25WVL,WF0EXXTTRESM60749,,TRANSIT VAN,23/05/2025,DS25WVL,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,23/05/2025,,,,,,,VIN: WF0EXXTTRESM60749,,GR11,
DL25FVJ,WF0EXXTTRESM60733,,TRANSIT VAN, 28/05/2025,DL25FVJ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM60733,,GR11,
DS25YCP,WF0EXXTTRESM60669,,TRANSIT VAN, 28/05/2025,DS25YCP,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM60669,,GR11,
DS25WTJ,WF0EXXTTRESM60709,,TRANSIT VAN, 28/05/2025,DS25WTJ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM60709,,GR11,
DS25XDB,WF0EXXTTRESM60712,,TRANSIT VAN, 28/05/2025,DS25XDB,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM60712,,GR11,
DS25XVC,WF0EXXTTRESM66785,,TRANSIT VAN, 28/05/2025,DS25XVC,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM66785,,GR11,
DS25WUA,WF0EXXTTRESM60741,,TRANSIT VAN, 28/05/2025,DS25WUA,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,28/05/2025,,,,,,,VIN: WF0EXXTTRESM60741,,GR11,
